collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
vigo county federal credit union,2,0,2,0.1%,0.0%,0.2%,10279,0,10279,0.3%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
advantageplus of indiana,2,1,1,0.1%,0.1%,0.1%,29852,0,29852,0.9%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
heritage acceptance corporation,2,0,2,0.1%,0.0%,0.2%,14274,0,14274,0.4%,0.0%,0.6%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
unified anesthesia services,2,0,2,0.1%,0.0%,0.2%,4493,0,4493,0.1%,0.0%,0.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
joe's auto sales inc,2,1,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
ambulance management services ltd,2,1,1,0.1%,0.1%,0.1%,1371,0,1371,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
terre haute chevrolet,2,0,2,0.1%,0.0%,0.2%,7661,0,7661,0.2%,0.0%,0.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
nicholas financial inc,2,0,2,0.1%,0.0%,0.2%,17053,0,17053,0.5%,0.0%,0.7%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
rowdy g. williams law firm pc,2,0,2,0.1%,0.0%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
nationwide cassel llc,2,1,1,0.1%,0.1%,0.1%,24515,7002,17512,0.7%,0.6%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
